holdout_year,training_years,selected_candidate,selected_prior_strength,selected_max_live_weight,training_advance_log_loss,training_advance_accuracy,holdout_matches,holdout_advance_log_loss,holdout_advance_brier_score,holdout_advance_accuracy
2010,"2002,2006",prior_20_cap_0.25,20.0,0.25,0.6105122070352692,0.5666666666666667,15,0.5313326431280477,0.17444144475003517,0.8666666666666667
2014,"2002,2006,2010",prior_20_cap_0.25,20.0,0.25,0.5841190190661953,0.6666666666666666,15,0.5000922898208707,0.1614352842935428,0.7333333333333333
2018,"2002,2006,2010,2014",anchor_only,,,0.5621355962915945,0.6666666666666666,15,0.6495867529505062,0.22709053329919052,0.5333333333333333
2022,"2002,2006,2010,2014,2018",anchor_only,,,0.5796258276233768,0.64,15,0.5619346341569328,0.1897006682612363,0.7333333333333333
