feature_set,year,train_matches,test_matches,log_loss,brier_score,ranked_probability_score,accuracy,top1_accuracy,feature_count
elo_only,2002,26436,64,1.0847199204794908,0.6506304888657867,0.23265793044178093,0.421875,0.421875,3
elo_only,2006,30040,64,0.8989072100498237,0.5232924504327998,0.17314740935331255,0.59375,0.59375,3
elo_only,2010,33867,64,1.0216301877911693,0.6063235374304923,0.20925823041798675,0.546875,0.546875,3
elo_only,2014,37864,64,0.9774101947586253,0.5792487892186131,0.20696424451525366,0.609375,0.609375,3
elo_only,2018,41642,64,1.0235599128820567,0.6146299457538249,0.22441841413910524,0.53125,0.53125,3
elo_only,2022,45703,64,1.0630225321782794,0.6198272740246132,0.22370251684609577,0.453125,0.453125,3
fifa_only,2002,26436,64,1.0482871637046725,0.630047117033723,0.22162118966622624,0.4375,0.4375,2
fifa_only,2006,30040,64,0.9674357564872397,0.5728123541813738,0.19635863644219487,0.546875,0.546875,2
fifa_only,2010,33867,64,1.0904796828343815,0.6640686627646176,0.23588156744328964,0.40625,0.40625,2
fifa_only,2014,37864,64,0.9441012093459767,0.5551591699968497,0.19672645426119872,0.59375,0.59375,2
fifa_only,2018,41642,64,1.0185328261044688,0.6100530145972638,0.22429129370528736,0.484375,0.484375,2
fifa_only,2022,45703,64,1.0148348296928726,0.6046343104730418,0.213473239265202,0.5,0.5,2
form_only,2002,26436,64,1.002527293721061,0.5997579045788248,0.20734228647558392,0.5,0.5,3
form_only,2006,30040,64,0.9328324358534683,0.543600811945088,0.18411436887890775,0.609375,0.609375,3
form_only,2010,33867,64,1.0573774647603558,0.6389104206197936,0.22418728520228978,0.46875,0.46875,3
form_only,2014,37864,64,0.9776830934129086,0.5854178013561677,0.2094421764191166,0.5625,0.5625,3
form_only,2018,41642,64,1.0336316228788154,0.6220106986229619,0.23030147794330397,0.46875,0.46875,3
form_only,2022,45703,64,1.0742328519580557,0.6485450911352957,0.23426572910197874,0.484375,0.484375,3
context_only,2002,26436,64,1.0747999882509345,0.6504183409703369,0.23096370685354395,0.4375,0.4375,8
context_only,2006,30040,64,1.0349026781825703,0.6207706892763214,0.22044502085527878,0.515625,0.515625,8
context_only,2010,33867,64,1.0988507132140413,0.6689578968532593,0.24033859317170608,0.375,0.375,8
context_only,2014,37864,64,1.052144683150182,0.6370869976436415,0.2374243538372527,0.453125,0.453125,8
context_only,2018,41642,64,1.070416628360834,0.6516124169925538,0.24471270233230888,0.390625,0.390625,8
context_only,2022,45703,64,1.0801765987146306,0.6548173072747547,0.23759433525230814,0.4375,0.4375,8
full_features,2002,26436,64,1.0303850405162578,0.6123597245919421,0.21376281655283172,0.5,0.5,16
full_features,2006,30040,64,0.883174907549471,0.5108097894131796,0.16759738444417838,0.640625,0.640625,16
full_features,2010,33867,64,0.9841652140100168,0.5820069529468945,0.19690862790531088,0.546875,0.546875,16
full_features,2014,37864,64,0.9247291636048061,0.5482413898170508,0.1919608126214486,0.609375,0.609375,16
full_features,2018,41642,64,0.9547180234755639,0.566595965662048,0.2022484465779049,0.5625,0.5625,16
full_features,2022,45703,64,1.0587269030977828,0.6168197902866088,0.2215002967655348,0.5,0.5,16
full_minus_elo,2002,26436,64,0.9821724904816832,0.5817743402085556,0.1987279734639405,0.515625,0.515625,13
full_minus_elo,2006,30040,64,0.910543600350729,0.5275273729739838,0.17577629239056008,0.625,0.625,13
full_minus_elo,2010,33867,64,1.0191905347567378,0.6118729240802012,0.2100258659277558,0.484375,0.484375,13
full_minus_elo,2014,37864,64,0.9100085221835383,0.5373578230653847,0.18646070372702142,0.640625,0.640625,13
full_minus_elo,2018,41642,64,0.9692851379342585,0.5742301841045891,0.2071979989086688,0.546875,0.546875,13
full_minus_elo,2022,45703,64,1.0365576994044983,0.6148324886019169,0.21856735657218995,0.5,0.5,13
full_minus_fifa,2002,26436,64,1.0330163674649435,0.6149123045162674,0.21489204113373095,0.5,0.5,14
full_minus_fifa,2006,30040,64,0.8821892495645929,0.510340740349495,0.1676319275975596,0.640625,0.640625,14
full_minus_fifa,2010,33867,64,0.9767760873174327,0.5761485115667798,0.1945720291380268,0.53125,0.53125,14
full_minus_fifa,2014,37864,64,0.929047475957889,0.5518828278745942,0.19391264331867106,0.59375,0.59375,14
full_minus_fifa,2018,41642,64,0.9595663010372035,0.5697244155485328,0.20359238160794976,0.5625,0.5625,14
full_minus_fifa,2022,45703,64,1.063470477871639,0.6184230907726057,0.22267881564280972,0.515625,0.515625,14
full_minus_form,2002,26436,64,1.0591990537961253,0.632915142813988,0.22383183290785905,0.46875,0.46875,13
full_minus_form,2006,30040,64,0.9038228647855646,0.5251906784751754,0.17398655966819562,0.609375,0.609375,13
full_minus_form,2010,33867,64,0.979826314550974,0.5802152139640249,0.196193681297742,0.5625,0.5625,13
full_minus_form,2014,37864,64,0.954054050369326,0.5674174243101817,0.2012934168968176,0.59375,0.59375,13
full_minus_form,2018,41642,64,0.958593613086109,0.5707280764831405,0.20394115178571087,0.546875,0.546875,13
full_minus_form,2022,45703,64,1.05839835132774,0.6162442268428923,0.22094382407141838,0.5,0.5,13
full_minus_context,2002,26436,64,1.0536123522678404,0.6305784506498512,0.2227662828200021,0.4375,0.4375,8
full_minus_context,2006,30040,64,0.8838900709972305,0.512940614328498,0.16875615839178276,0.609375,0.609375,8
full_minus_context,2010,33867,64,1.032579208331195,0.61501187397963,0.21283998470850773,0.546875,0.546875,8
full_minus_context,2014,37864,64,0.9479010183998531,0.5635538074963335,0.19899297181302616,0.609375,0.609375,8
full_minus_context,2018,41642,64,1.012375515043962,0.6068113443092121,0.22114290601298733,0.5,0.5,8
full_minus_context,2022,45703,64,1.0591898837257037,0.6194177146924034,0.22335345246431232,0.453125,0.453125,8
