feature_set,windows,accuracy_mean,accuracy_std,top1_accuracy_mean,top1_accuracy_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,ranked_probability_score_mean,ranked_probability_score_std
full_minus_elo,6,0.5520833333333334,0.06604528118394733,0.5520833333333334,0.06604528118394733,0.9712929975185741,0.05314569865253762,0.5745991888391052,0.036502996818968556,0.19945936516502275,0.015918798919794166
full_features,6,0.5598958333333334,0.05712570659665111,0.5598958333333334,0.05712570659665111,0.9726498753756497,0.06557274253200168,0.5728056021196206,0.0401793059315715,0.1989963974778682,0.01884040707811663
full_minus_fifa,6,0.5572916666666666,0.05291010458000124,0.5572916666666666,0.05291010458000124,0.9740109932022835,0.06656407282317624,0.5735719817713791,0.04052331630907873,0.19954663973979134,0.019297587676427214
full_minus_form,6,0.546875,0.05412658773652742,0.546875,0.05412658773652742,0.9856490413193065,0.06190595028784253,0.5821184604815671,0.038301767294333586,0.20336507777129056,0.01814965719052635
full_minus_context,6,0.5260416666666666,0.07504339022636616,0.5260416666666666,0.07504339022636616,0.9982580081276308,0.06894910749523056,0.5913856342426547,0.04482467592031334,0.20797529270176973,0.021312602091566688
elo_only,6,0.5260416666666666,0.07504339022636615,0.5260416666666666,0.07504339022636615,1.0115416596899076,0.0664876395091189,0.5989920809543551,0.04363291221340362,0.2116914576189225,0.021259090966913374
form_only,6,0.515625,0.05762215285808054,0.515625,0.05762215285808054,1.0130474604307775,0.052779298392470204,0.606373788043022,0.03874257104696209,0.21494222067019678,0.018617958603934944
fifa_only,6,0.4947916666666667,0.0689391337823929,0.4947916666666667,0.0689391337823929,1.0139452446949353,0.05310376004468622,0.6061291048411449,0.03912706298751775,0.21472539679723313,0.015808286537082612
context_only,6,0.4348958333333333,0.049820641848200495,0.4348958333333333,0.049820641848200495,1.0685485483121988,0.02234786051195567,0.6472772748351446,0.01650455719793912,0.23524645205039976,0.00852314354175871
