model,windows,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,top1_accuracy_mean,ranked_probability_score_mean,ranked_probability_score_std
logistic_plain_c0_5,6,0.5598958333333334,0.05712570659665111,0.9726498753756497,0.06557274253200168,0.5728056021196206,0.0401793059315715,0.5598958333333334,0.1989963974778682,0.01884040707811663
logistic_plain,6,0.5625,0.05676844413932796,0.972745846777114,0.06558499889471131,0.5728482772757795,0.04014906152274519,0.5625,0.199016878192426,0.01882690854409209
logistic_plain_c2,6,0.5625,0.05676844413932796,0.9728025427537889,0.06560012570056557,0.5728727535577841,0.04013540812487296,0.5625,0.19902832372810497,0.018820486864654828
logistic_balanced_c0_5,6,0.5338541666666666,0.02691252225575794,1.0087263532586415,0.05721002297443011,0.5970837652704497,0.027846269390450627,0.5338541666666666,0.207145675454713,0.0136666778990759
logistic_balanced_c2,6,0.5338541666666666,0.02691252225575794,1.008950806747036,0.057350757748312095,0.5971900192265889,0.027836425695222277,0.5338541666666666,0.2071928617072678,0.013660868941475857
