round,match,team_a_top,team_a_probability,team_b_top,team_b_probability,matchup_probability,winner_top,winner_probability,winner_match_probability,monte_carlo_winner,monte_carlo_winner_probability,monte_carlo_team_a_advance_probability,monte_carlo_team_b_advance_probability,monte_carlo_sample_size,monte_carlo_standard_error,monte_carlo_team_a_ci95_lower,monte_carlo_team_a_ci95_upper,direct_team_a_win_probability,direct_draw_probability,direct_team_b_win_probability,direct_team_a_advance_probability,direct_team_b_advance_probability,direct_winner,direct_winner_probability,direct_matchup_fixed,direct_vs_monte_carlo_delta,direct_within_monte_carlo_ci
round_of_32,73,South Africa,1.0,Canada,1.0,1.0,Canada,0.6573333333333333,0.6573333333333333,Canada,0.6573333333333333,0.3426666666666667,0.6573333333333333,3000,0.0086649912910558,0.3256832837361971,0.3596500495971362,0.2232680998967351,0.2351879572361302,0.5415439428671346,0.3408620785148003,0.6591379214851997,Canada,0.6591379214851997,True,0.0018045881518663,True
round_of_32,74,Germany,1.0,Paraguay,1.0,1.0,Germany,0.7023333333333334,0.7023333333333334,Germany,0.7023333333333334,0.7023333333333334,0.2976666666666666,3000,0.0083478784175426,0.6859714916349499,0.7186951750317169,0.590021985716747,0.213647056407797,0.1963309578754559,0.6968455139206455,0.3031544860793544,Germany,0.6968455139206455,True,0.0054878194126878,True
round_of_32,75,Netherlands,1.0,Morocco,1.0,1.0,Netherlands,0.533,0.533,Netherlands,0.533,0.533,0.4669999999999999,3000,0.0091088052637727,0.5151467416830056,0.5508532583169945,0.3963772910039685,0.2464910933127189,0.3571316156833125,0.519622837660328,0.480377162339672,Netherlands,0.519622837660328,True,0.013377162339672,True
round_of_32,76,Brazil,1.0,Japan,1.0,1.0,Brazil,0.6303333333333333,0.6303333333333333,Brazil,0.6303333333333333,0.6303333333333333,0.3696666666666667,3000,0.0088131194292415,0.6130596192520199,0.6476070474146467,0.511401693293697,0.2322220177159183,0.2563762889903846,0.6275127021516562,0.3724872978483438,Brazil,0.6275127021516562,True,0.002820631181677,True
round_of_32,77,France,1.0,Sweden,1.0,1.0,France,0.8396666666666667,0.8396666666666667,France,0.8396666666666667,0.8396666666666667,0.1603333333333333,3000,0.0066989192052538,0.8265367850243692,0.8527965483089641,0.7618010521468461,0.1580365129047103,0.0801624349484435,0.8408193085992013,0.1591806914007987,France,0.8408193085992013,True,-0.0011526419325346,True
round_of_32,78,Ivory Coast,1.0,Norway,1.0,1.0,Norway,0.6013333333333334,0.6013333333333334,Norway,0.6013333333333334,0.3986666666666666,0.6013333333333333,3000,0.0089392683435792,0.3811457007132512,0.416187632620082,0.282530560226067,0.2407811253434228,0.4766883144305102,0.4029211228977785,0.5970788771022215,Norway,0.5970788771022215,True,-0.0042544562311118,True
round_of_32,79,Mexico,1.0,Ecuador,1.0,1.0,Mexico,0.597,0.597,Mexico,0.597,0.597,0.403,3000,0.0089552777734696,0.5794476555639994,0.6145523444360006,0.4941577405447738,0.2350949825141899,0.2707472769410362,0.6117052318018688,0.3882947681981312,Mexico,0.6117052318018688,True,-0.0147052318018687,True
round_of_32,80,England,1.0,DR Congo,1.0,1.0,England,0.8343333333333334,0.8343333333333334,England,0.8343333333333334,0.8343333333333334,0.1656666666666666,3000,0.0067877640457473,0.8210293158036686,0.8476373508629982,0.7389337845658164,0.1660541182361029,0.0950120971980806,0.8219608436838678,0.1780391563161322,England,0.8219608436838678,True,0.0123724896494655,True
round_of_32,81,United States,1.0,Bosnia and Herzegovina,1.0,1.0,United States,0.738,0.738,United States,0.738,0.738,0.262,3000,0.0080282002964549,0.7222647274189482,0.7537352725810518,0.6318775224244316,0.1995907553969041,0.1685317221786641,0.7316729001228837,0.2683270998771163,United States,0.7316729001228837,True,0.0063270998771163,True
round_of_32,82,Belgium,1.0,Senegal,1.0,1.0,Belgium,0.6753333333333333,0.6753333333333333,Belgium,0.6753333333333333,0.6753333333333333,0.3246666666666666,3000,0.0085490393655705,0.6585772161768152,0.6920894504898515,0.5606281485624459,0.221716608209495,0.217655243228059,0.6714864526671934,0.3285135473328066,Belgium,0.6714864526671934,True,0.0038468806661399,True
round_of_32,83,Portugal,1.0,Croatia,1.0,1.0,Portugal,0.6846666666666666,0.6846666666666666,Portugal,0.6846666666666666,0.6846666666666666,0.3153333333333333,3000,0.0084832820343351,0.6680394338793697,0.7012938994539636,0.573109652766397,0.2186973323128037,0.2081930149207991,0.682458318922799,0.317541681077201,Portugal,0.682458318922799,True,0.0022083477438676,True
round_of_32,84,Spain,1.0,Austria,1.0,1.0,Spain,0.7786666666666666,0.7786666666666666,Spain,0.7786666666666666,0.7786666666666666,0.2213333333333333,3000,0.0075794654360512,0.7638109144120061,0.7935224189213271,0.6812595585105273,0.1903731356830731,0.1283673058063995,0.7764461263520639,0.2235538736479361,Spain,0.7764461263520639,True,0.0022205403146027,True
round_of_32,85,Switzerland,1.0,Algeria,1.0,1.0,Switzerland,0.611,0.611,Switzerland,0.611,0.611,0.389,3000,0.008900917555698,0.5935542015908318,0.6284457984091681,0.4857961879789684,0.2359319681000958,0.2782718439209356,0.6037621720290164,0.3962378279709836,Switzerland,0.6037621720290164,True,0.0072378279709836,True
round_of_32,86,Argentina,1.0,Cape Verde,1.0,1.0,Argentina,0.924,0.924,Argentina,0.924,0.924,0.0759999999999999,3000,0.0048381814765467,0.9145171643059684,0.9334828356940316,0.8756263188526168,0.098199846186624,0.0261738349607592,0.9247262419459288,0.0752737580540712,Argentina,0.9247262419459288,True,-0.0007262419459287,True
round_of_32,87,Colombia,1.0,Ghana,1.0,1.0,Colombia,0.8876666666666667,0.8876666666666667,Colombia,0.8876666666666667,0.8876666666666667,0.1123333333333332,3000,0.0057652567319404,0.8763667634720633,0.8989665698612701,0.8158213519248423,0.1288321915309772,0.0553464565441805,0.8802374476903309,0.1197625523096691,Colombia,0.8802374476903309,True,0.0074292189763358,True
