group,team_a,team_b,team_a_win,draw,team_b_win,team_a_goals_lambda,team_b_goals_lambda
A,Mexico,South Africa,0.7877301909431127,0.173066076348211,0.03920373270867633,,
A,Mexico,South Korea,0.6527628342796672,0.2519487816393312,0.0952883840810017,,
A,Mexico,Czechia,0.7375235603483365,0.20542281001247384,0.057053629639189606,,
A,South Africa,South Korea,0.26190544544244515,0.3469633721798555,0.3911311823776994,,
A,South Africa,Czechia,0.3509423235471056,0.35113494053445005,0.2979227359184445,,
A,South Korea,Czechia,0.5223478036805483,0.30634113381888706,0.17131106250056471,,
B,Canada,Bosnia and Herzegovina,0.6635413803738524,0.24369176847664353,0.09276685114950418,,
B,Canada,Qatar,0.7230901597193549,0.21145136100647352,0.06545847927417169,,
B,Canada,Switzerland,0.29365322626299983,0.34330921110768,0.3630375626293203,,
B,Bosnia and Herzegovina,Qatar,0.4933995725649188,0.317798729780155,0.18880169765492621,,
B,Bosnia and Herzegovina,Switzerland,0.11193576375304072,0.27057680761984954,0.6174874286271098,,
B,Qatar,Switzerland,0.07834173624431004,0.23396018945287167,0.6876980743028184,,
C,Brazil,Morocco,0.47201155518742544,0.3242995544326665,0.203688890379908,,
C,Brazil,Haiti,0.8628726620624819,0.12036824612304323,0.01675909181447494,,
C,Brazil,Scotland,0.7166088257576511,0.21776247027737283,0.06562870396497608,,
C,Morocco,Haiti,0.8380638644211091,0.13840032622212417,0.023535809356766798,,
C,Morocco,Scotland,0.6733080002543944,0.24119653829916146,0.08549546144644418,,
C,Haiti,Scotland,0.2080383242645066,0.3346126201146968,0.45734905562079664,,
D,United States,Paraguay,0.476776575799397,0.32365315653068094,0.19957026766992214,,
D,United States,Australia,0.44108329485573394,0.3346938249673707,0.22422288017689526,,
D,United States,Turkey,0.43663224536071454,0.3351485145419793,0.2282192400973061,,
D,Paraguay,Australia,0.3850228900131891,0.3462965196940453,0.26868059029276564,,
D,Paraguay,Turkey,0.3812943007380656,0.34516871890897544,0.27353698035295904,,
D,Australia,Turkey,0.4162015745468153,0.337908024729606,0.24589040072357876,,
E,Germany,Curacao,0.8520410308378453,0.12843076418571434,0.019528204976440342,,
E,Germany,Ivory Coast,0.6425115268462035,0.2575048147223604,0.0999836584314361,,
E,Germany,Ecuador,0.527303810376818,0.308513689876794,0.1641824997463881,,
E,Curacao,Ivory Coast,0.1631167736052257,0.311593333971442,0.5252898924233322,,
E,Curacao,Ecuador,0.09415213395175817,0.25473012042029125,0.6511177456279506,,
E,Ivory Coast,Ecuador,0.30720156685640687,0.34766060635849516,0.345137826785098,,
F,Netherlands,Japan,0.5417407568423213,0.30172383955530485,0.1565354036023739,,
F,Netherlands,Sweden,0.7065277065213711,0.22344012366015964,0.07003216981846937,,
F,Netherlands,Tunisia,0.8061035777988768,0.161385163128262,0.03251125907286131,,
F,Japan,Sweden,0.6013004022508175,0.2763064450662188,0.12239315268296369,,
F,Japan,Tunisia,0.7259128162206538,0.21189050154023847,0.06219668223910774,,
F,Sweden,Tunisia,0.5644193436425823,0.2909045783966931,0.14467607796072468,,
G,Belgium,Egypt,0.5799846339057455,0.2869132393312854,0.13310212676296912,,
G,Belgium,Iran,0.5214608770141598,0.3107002462291019,0.16783887675673834,,
G,Belgium,New Zealand,0.7927560866140373,0.1686346355094371,0.0386092778765255,,
G,Egypt,Iran,0.3627908202526782,0.34675813410757855,0.2904510456397433,,
G,Egypt,New Zealand,0.6760517843254693,0.2360227694780291,0.08792544619650168,,
G,Iran,New Zealand,0.7242174829044762,0.20960903480902066,0.06617348228650315,,
H,Spain,Cape Verde,0.851924698277444,0.12973448711421742,0.01834081460833868,,
