group,team_a,team_b,team_a_win,draw,team_b_win,team_a_goals_lambda,team_b_goals_lambda
A,Mexico,South Africa,0.7826381574359048,0.1494214186603266,0.06794042390376863,2.3862806625451016,0.5529618414001903
A,Mexico,South Korea,0.47236499767991075,0.2399906211332361,0.2876443811868532,1.6791504212600075,1.2600920826852844
A,Mexico,Czechia,0.6750284540126991,0.1927900649627115,0.1321814810245894,2.1233442153979825,0.8158982885473096
A,South Africa,South Korea,0.09954307442635857,0.17351022525394683,0.7269467003196947,0.6934688324364764,2.2457736715088155
A,South Africa,Czechia,0.22757970385136664,0.2284599888945445,0.543960307254089,1.1057185731747396,1.8335239307705522
A,South Korea,Czechia,0.5947922003687314,0.21682476407858078,0.1883830355526879,1.9438934695918382,0.9953490343534537
B,Canada,Bosnia and Herzegovina,0.6606730654981446,0.1975995677838345,0.14172736671802086,2.0905330572513976,0.8487094466938944
B,Canada,Qatar,0.6786991438165324,0.19152435827974634,0.12977649790372126,2.1317969979233147,0.8074455060219771
B,Canada,Switzerland,0.31259810558084183,0.2428721831188807,0.44452971130027746,1.3204811706739046,1.6187613332713873
B,Bosnia and Herzegovina,Qatar,0.3998595497413427,0.24550648149100923,0.3546339687676481,1.520587499292442,1.4186550046528499
B,Bosnia and Herzegovina,Switzerland,0.10910428374637801,0.1796597889438907,0.7112359273097313,0.7312286279910207,2.208013875954271
B,Qatar,Switzerland,0.09962025633607924,0.17356172129672356,0.7268180223671973,0.693780973345949,2.245461530599343
C,Brazil,Morocco,0.42338080795248556,0.24443258097168324,0.3321866110758312,1.572520873152067,1.3667216307932248
C,Brazil,Haiti,0.846836981091229,0.11686055581176807,0.03630246309700291,2.567257762618378,0.371984741326914
C,Brazil,Scotland,0.6759317812628975,0.19247994466933857,0.13158827406776397,2.125421895821959,0.8138206081233327
C,Morocco,Haiti,0.8307131057879321,0.1255601004831697,0.04372679372889814,2.5192485669267057,0.4199939370185863
C,Morocco,Scotland,0.6384172884119106,0.2046159509042096,0.15696676068387977,2.0403546015761638,0.8988879023691283
C,Haiti,Scotland,0.12962562969904626,0.19144420979669988,0.6789301605042539,0.8069126236788495,2.1323298802664423
D,United States,Paraguay,0.5110674722342934,0.23447740297754271,0.25445512478816396,1.7626264726376535,1.1766160313076384
D,United States,Australia,0.3635538033533058,0.2457301292908001,0.3907160673558942,1.4390192026011246,1.5002233013441673
