round,match,matchup,team_a_top,team_b_top,direct_matchup_fixed,matchup_probability,direct_team_a_win_probability,direct_draw_probability,direct_team_b_win_probability,direct_team_a_advance_probability,direct_team_b_advance_probability,direct_winner,direct_winner_probability,monte_carlo_team_a_advance_probability,monte_carlo_team_b_advance_probability,monte_carlo_winner,monte_carlo_winner_probability,monte_carlo_sample_size,monte_carlo_standard_error,monte_carlo_team_a_ci95_lower,monte_carlo_team_a_ci95_upper,direct_vs_monte_carlo_delta,absolute_probability_delta,direct_within_monte_carlo_ci,prediction_agreement
third_place,103,France vs England,France,England,True,1.0,0.4596452230647759,0.2408867167076595,0.2994680602275644,0.5800885814186058,0.4199114185813942,France,0.5800885814186058,0.5853333333333334,0.4146666666666666,France,0.5853333333333334,3000,0.0089947803794241,0.567703563789662,0.6029631028770047,0.0052447519147276,0.0052447519147276,True,True
final,104,Spain vs Argentina,Spain,Argentina,True,1.0,0.3865293944746997,0.2213773451838866,0.3920932603414138,0.497218067066643,0.5027819329333569,Argentina,0.5027819329333569,0.481,0.519,Argentina,0.519,3000,0.0091221159825996,0.4631206526741047,0.4988793473258953,-0.016218067066643,0.016218067066643,True,True
