group,team_a,team_b,team_a_win,draw,team_b_win,team_a_goals_lambda,team_b_goals_lambda
A,Mexico,South Africa,0.9617487856630522,4.706176114482621e-06,0.03824650816083331,,
A,Mexico,South Korea,0.9140581693598809,7.110516611343573e-06,0.0859347201235076,,
A,Mexico,Czechia,0.9519444984117239,5.356213862367483e-06,0.04805014537441378,,
A,South Africa,South Korea,0.5784011477386755,1.3461165821213103e-05,0.4215853910955033,,
A,South Africa,Czechia,0.7055111193675012,1.2405086136504126e-05,0.2944764755463623,,
A,South Korea,Czechia,0.8395373565009562,9.417984860723586e-06,0.16045322551418317,,
B,Canada,Bosnia and Herzegovina,0.9050175280112116,7.274450665409908e-06,0.09497519753812304,,
B,Canada,Qatar,0.9440664879458713,5.605040608569209e-06,0.05592790701352006,,
B,Canada,Switzerland,0.5964749967503605,1.2914675600521743e-05,0.403512088574039,,
B,Bosnia and Herzegovina,Qatar,0.8374400581798063,9.561845732639688e-06,0.16255037997446106,,
B,Bosnia and Herzegovina,Switzerland,0.3050021234916899,1.211553321110592e-05,0.694985760975099,,
B,Qatar,Switzerland,0.1921935175500514,1.0107874787282231e-05,0.8077963745751613,,
C,Brazil,Morocco,0.783481868627237,1.0871922762060918e-05,0.21650725945000077,,
C,Brazil,Haiti,0.9875096326213426,2.760001489514074e-06,0.012487607377167972,,
C,Brazil,Scotland,0.944860222073522,5.727593774568308e-06,0.055134050332703466,,
C,Morocco,Haiti,0.9843483882886482,3.0677713451709255e-06,0.015648543940006643,,
C,Morocco,Scotland,0.9329130974539659,6.29389263685659e-06,0.06708060865339721,,
C,Haiti,Scotland,0.4390543864592198,1.3503736118059585e-05,0.5609321098046621,,
D,United States,Paraguay,0.7842712546146996,1.0869658659409588e-05,0.21571787572664106,,
D,United States,Australia,0.7273235614879376,1.1965623879713263e-05,0.27266447288818274,,
D,United States,Turkey,0.7282226181256101,1.187817662853571e-05,0.2717655036977615,,
D,Paraguay,Australia,0.6868392068113292,1.2516739710789971e-05,0.31314827644896004,,
D,Paraguay,Turkey,0.687693262437215,1.2426028303197382e-05,0.31229431153448184,,
D,Australia,Turkey,0.7501298716575941,1.1466602963998533e-05,0.2498586617394419,,
E,Germany,Curacao,0.9872553437041,2.820117240296404e-06,0.012741836178659779,,
E,Germany,Ivory Coast,0.9019711675137584,7.615467087628018e-06,0.09802121701915405,,
E,Germany,Ecuador,0.8164923698748302,1.0256861043398382e-05,0.18349737326412646,,
E,Curacao,Ivory Coast,0.30193338893691435,1.216753958090158e-05,0.6980544435235048,,
E,Curacao,Ecuador,0.16060342162828287,9.365342312472174e-06,0.8393872130294047,,
E,Ivory Coast,Ecuador,0.5955292620045242,1.3149651278022129e-05,0.4044575883441978,,
F,Netherlands,Japan,0.8312769982842776,9.835993386053282e-06,0.1687131657223364,,
F,Netherlands,Sweden,0.9379235860702728,6.10029905611594e-06,0.06207031363067115,,
F,Netherlands,Tunisia,0.9774289456171071,3.720738863328687e-06,0.022567333644029523,,
F,Japan,Sweden,0.8998553362305547,7.640592282510071e-06,0.10013702317716286,,
F,Japan,Tunisia,0.9618349095889893,4.789802183007698e-06,0.038160300608827684,,
F,Sweden,Tunisia,0.885852028723441,8.069610856019876e-06,0.11413990166570295,,
G,Belgium,Egypt,0.8887090210061127,8.125350992912809e-06,0.11128285364289434,,
G,Belgium,Iran,0.8405191814999103,9.648222012519122e-06,0.15947117027807722,,
G,Belgium,New Zealand,0.9717595856624618,3.993628220180858e-06,0.02823642070931807,,
G,Egypt,Iran,0.664949961241326,1.2649403271346584e-05,0.33503738935540267,,
G,Egypt,New Zealand,0.9240913655933791,6.438786221101151e-06,0.07590219562039965,,
G,Iran,New Zealand,0.9494163471089053,5.260212101271998e-06,0.05057839267899349,,
H,Spain,Cape Verde,0.9885854852915131,2.783374255045124e-06,0.011411731334231921,,
H,Spain,Saudi Arabia,0.9876029089979862,2.861163246592614e-06,0.012394229838767312,,
H,Spain,Uruguay,0.9544711865674025,5.3725884710152545e-06,0.04552344084412653,,
H,Cape Verde,Saudi Arabia,0.7411817751680485,1.1606637787529124e-05,0.258806618194164,,
H,Cape Verde,Uruguay,0.4752469507673404,1.3345932553693436e-05,0.5247397033001059,,
H,Saudi Arabia,Uruguay,0.4885426273204558,1.349363531679917e-05,0.5114438790442275,,
I,France,Senegal,0.9434882506906789,5.9801947066551495e-06,0.05650576911461453,,
I,France,Iraq,0.9875739503237404,2.840736347851566e-06,0.012423208939911754,,
I,France,Norway,0.9148272477213873,7.306594955119817e-06,0.08516544568365758,,
I,Senegal,Iraq,0.9235092506932387,6.564179447060519e-06,0.07648418512731414,,
I,Senegal,Norway,0.6669543443218521,1.26407723739283e-05,0.3330330149057741,,
I,Iraq,Norway,0.32789562294836266,1.2752320955336951e-05,0.672091624730682,,
J,Argentina,Algeria,0.9537879056920446,5.466020382101246e-06,0.04620662828757323,,
J,Argentina,Austria,0.9419665085037517,6.1343299194219195e-06,0.05802735716632879,,
J,Argentina,Jordan,0.9905099599515726,2.5420995952251647e-06,0.009487497948832076,,
J,Algeria,Austria,0.7012740166066807,1.2287618662668945e-05,0.2987136957746568,,
J,Algeria,Jordan,0.9243548234101345,6.513695307355414e-06,0.07563866289455806,,
J,Austria,Jordan,0.9395573116516085,5.826159299185899e-06,0.060436862189092326,,
K,Portugal,DR Congo,0.9568694584459881,5.06275018214173e-06,0.0431254788038298,,
K,Portugal,Uzbekistan,0.9658560816616892,4.478162044039117e-06,0.034139440176266724,,
K,Portugal,Colombia,0.7946345916545146,1.0710401059763983e-05,0.20535469794442573,,
K,DR Congo,Uzbekistan,0.7917188598680566,1.0699096523268728e-05,0.20827044103542017,,
K,DR Congo,Colombia,0.3439952153684741,1.225693634428614e-05,0.6559925276951817,,
K,Uzbekistan,Colombia,0.29141367998943485,1.1838187405953002e-05,0.7085744818231593,,
L,England,Croatia,0.883606515126699,8.36280541855289e-06,0.11638512206788248,,
L,England,Ghana,0.9817238814862107,3.375849475693601e-06,0.018272742664313592,,
L,England,Panama,0.9624206512258306,4.888914132063261e-06,0.037574459860037275,,
L,Croatia,Ghana,0.9501716924228263,5.375646809239683e-06,0.049822931930364474,,
L,Croatia,Panama,0.9036303272911642,7.529842316227843e-06,0.09636214286651944,,
L,Ghana,Panama,0.6096712161977031,1.3395417061939854e-05,0.3903153883852349,,
