group,team_a,team_b,team_a_win,draw,team_b_win,team_a_goals_lambda,team_b_goals_lambda
A,Mexico,South Africa,0.7570536297825899,0.1920841075198897,0.05086226269752042,,
A,Mexico,South Korea,0.6323807472573912,0.26190301619973083,0.1057162365428779,,
A,Mexico,Czechia,0.7198883589512928,0.21548774324692402,0.06462389780178318,,
A,South Africa,South Korea,0.2814834875317807,0.3498863617899439,0.36863015067827537,,
A,South Africa,Czechia,0.3720788843435543,0.34953515816989655,0.2783859574865492,,
A,South Korea,Czechia,0.5224907010310856,0.30632795373183774,0.1711813452370766,,
B,Canada,Bosnia and Herzegovina,0.6290575125975788,0.26057463601797426,0.11036785138444699,,
B,Canada,Qatar,0.7069154768787559,0.22046164825592565,0.07262287486531846,,
B,Canada,Switzerland,0.30215503169004326,0.3433579539995377,0.35448701431041896,,
B,Bosnia and Herzegovina,Qatar,0.5117782525975458,0.3114342471523802,0.17678750025007398,,
B,Bosnia and Herzegovina,Switzerland,0.1391912996924916,0.29343772579228483,0.5673709745152236,,
B,Qatar,Switzerland,0.09106565534919285,0.24995175504569958,0.6589825896051076,,
C,Brazil,Morocco,0.4487304140599411,0.3314373639802659,0.21983222195979304,,
C,Brazil,Haiti,0.8530279367960497,0.12747521622713368,0.019496846976816685,,
C,Brazil,Scotland,0.6993978215484246,0.2270623700076599,0.07353980844391558,,
C,Morocco,Haiti,0.8395266102602962,0.13729573701000006,0.023177652729703714,,
C,Morocco,Scotland,0.6758093639602837,0.2397629177096607,0.0844277183300556,,
C,Haiti,Scotland,0.20811480272839247,0.33469737824091766,0.45718781903068983,,
D,United States,Paraguay,0.45166362853260994,0.3308107297574304,0.21752564170995967,,
D,United States,Australia,0.3968178875142995,0.3439769106131799,0.2592052018725205,,
D,United States,Turkey,0.39696932244112976,0.34263296437046237,0.26039771318840793,,
D,Paraguay,Australia,0.3664026744097828,0.3482974044710154,0.28529992111920177,,
D,Paraguay,Turkey,0.36644405571259814,0.34689317862869473,0.28666276565870713,,
D,Australia,Turkey,0.4202884373985398,0.3374218411464962,0.24228972145496397,,
E,Germany,Curacao,0.8535578891324467,0.12739585968988176,0.019046251177671537,,
E,Germany,Ivory Coast,0.6216907481541459,0.26755600042918193,0.11075325141667217,,
E,Germany,Ecuador,0.49954266035532124,0.31809560486551086,0.18236173477916795,,
E,Curacao,Ivory Coast,0.146890806724106,0.3012753948056585,0.5518337984702355,,
E,Curacao,Ecuador,0.08125886288174564,0.23938205851129138,0.679359078606963,,
E,Ivory Coast,Ecuador,0.3028957224555668,0.34759862314456214,0.349505654399871,,
F,Netherlands,Japan,0.5170793439450925,0.3112780781325136,0.17164257792239387,,
F,Netherlands,Sweden,0.6929651920587142,0.23107530424182132,0.0759595036994645,,
F,Netherlands,Tunisia,0.8073007673760209,0.16061879980266958,0.032080432821309644,,
F,Japan,Sweden,0.6091971267363204,0.27260453986168315,0.11819833340199652,,
F,Japan,Tunisia,0.7461270142850289,0.1998320263370294,0.05404095937794165,,
F,Sweden,Tunisia,0.5828718003664678,0.2831917323580038,0.13393646727552844,,
G,Belgium,Egypt,0.5925879535587493,0.28141333590015566,0.12599871054109507,,
G,Belgium,Iran,0.5216814677445225,0.3106002796786762,0.16771825257680129,,
G,Belgium,New Zealand,0.7928944919209665,0.1684664763042503,0.03863903177478319,,
G,Egypt,Iran,0.35044146995528835,0.3477110819115105,0.30184744813320113,,
G,Egypt,New Zealand,0.6652604213599566,0.2415141756273663,0.09322540301267712,,
G,Iran,New Zealand,0.7244967515451579,0.20943924414187756,0.06606400431296447,,
H,Spain,Cape Verde,0.8620012291350798,0.12219032723132134,0.015808443633598825,,
H,Spain,Saudi Arabia,0.8568061902420399,0.12587315234387714,0.017320657414082966,,
H,Spain,Uruguay,0.7333731902508765,0.20984932061782294,0.056777489131300596,,
H,Cape Verde,Saudi Arabia,0.41133935184840986,0.33895136776246726,0.24970928038912293,,
H,Cape Verde,Uruguay,0.2273260966902972,0.3357509193950107,0.43692298391469203,,
H,Saudi Arabia,Uruguay,0.23579613277425276,0.3403713794705012,0.42383248775524596,,
I,France,Senegal,0.7086437126687354,0.22458028219511048,0.06677600513615423,,
I,France,Iraq,0.8584326014015177,0.12435180543003269,0.017215593168449644,,
I,France,Norway,0.6381045966117366,0.2626073805720897,0.09928802281617381,,
I,Senegal,Iraq,0.6583029432393832,0.24665158797155678,0.09504546878905998,,
I,Senegal,Norway,0.34339491598103267,0.3473027850261145,0.3093022989928529,,
I,Iraq,Norway,0.1485657534762815,0.3066279013875763,0.5448063451361422,,
J,Argentina,Algeria,0.7310122584822274,0.2120356079802111,0.05695213353756146,,
J,Argentina,Austria,0.7078108152846362,0.2256639969832001,0.0665251877321637,,
J,Argentina,Jordan,0.8703048752151475,0.11568704489330975,0.014008079891542707,,
J,Algeria,Austria,0.38978339747305696,0.34390445041099904,0.26631215211594395,,
J,Algeria,Jordan,0.6555811739071146,0.24767153861098032,0.09674728748190514,,
J,Austria,Jordan,0.6803596349358356,0.23445834505475946,0.08518202000940493,,
K,Portugal,DR Congo,0.739078314242178,0.20403837105299855,0.05688331470482346,,
K,Portugal,Uzbekistan,0.7657405508029391,0.18708719445971128,0.04717225473734965,,
K,Portugal,Colombia,0.4624200234280341,0.32891314726387655,0.20866682930808927,,
K,DR Congo,Uzbekistan,0.46045092311238206,0.3281327859539749,0.21141629093364311,,
K,DR Congo,Colombia,0.16065457116989992,0.30157138754367924,0.5377740412864209,,
K,Uzbekistan,Colombia,0.13686257572046306,0.2904834283716312,0.5726539959079057,,
L,England,Croatia,0.5963667648190577,0.2803828349819889,0.12325040019895342,,
L,England,Ghana,0.830113183064249,0.14504107688872994,0.024845740047021166,,
L,England,Panama,0.7579521013433536,0.19465427830210016,0.04739362035454628,,
L,Croatia,Ghana,0.7148720441379103,0.21706104469526022,0.06806691116682954,,
L,Croatia,Panama,0.611667542655533,0.27174785361656834,0.11658460372789858,,
L,Ghana,Panama,0.31020359439418765,0.3535161875877224,0.33628021801808994,,
